,Date,Daily Confirmed Cases
11724,2020-06-01,19.0
11893,2020-06-02,12.0
12062,2020-06-03,2.0
12231,2020-06-04,12.0
12400,2020-06-05,30.0
12569,2020-06-06,38.0
12738,2020-06-07,19.0
12907,2020-06-08,7.0
13076,2020-06-09,14.0
13245,2020-06-10,5.0
13414,2020-06-11,6.0
13583,2020-06-12,5.0
13752,2020-06-13,2.0
13921,2020-06-14,4.0
14090,2020-06-15,6.0
14259,2020-06-16,4.0
14428,2020-06-17,11.0
14597,2020-06-18,6.0
14766,2020-06-19,12.0
14935,2020-06-20,2.0
15104,2020-06-21,0.0
15273,2020-06-22,5.0
15442,2020-06-23,2.0
15611,2020-06-24,5.0
15780,2020-06-25,17.0
15949,2020-06-26,6.0
16118,2020-06-27,11.0
16287,2020-06-28,7.0
16456,2020-06-29,6.0
16625,2020-06-30,10.0
16794,2020-07-01,4.0
16963,2020-07-02,5.0
17132,2020-07-05,26.0
17301,2020-07-06,1.0
17470,2020-07-07,7.0
17639,2020-07-08,9.0
17808,2020-07-09,11.0
17977,2020-07-12,13.0
18146,2020-07-13,1.0
18315,2020-07-14,3.0
18484,2020-07-15,11.0
18653,2020-07-16,5.0
18822,2020-07-19,13.0
18991,2020-07-20,6.0
19160,2020-07-21,5.0
19329,2020-07-22,3.0
19498,2020-07-23,65.0
19667,2020-07-26,11.0
19836,2020-07-27,3.0
20005,2020-07-28,56.0
20174,2020-07-29,8.0
20343,2020-07-30,11.0
20512,2020-08-02,6.0
20681,2020-08-03,3.0
20850,2020-08-04,4.0
21019,2020-08-05,1.0
21188,2020-08-06,5.0
21357,2020-08-09,0.0
21526,2020-08-10,4.0
21695,2020-08-11,0.0
21864,2020-08-12,10.0
22033,2020-08-13,0.0
22202,2020-08-16,40.0
22371,2020-08-17,-3.0
22540,2020-08-18,0.0
22709,2020-08-19,3.0
22878,2020-08-20,10.0
23047,2020-08-23,30.0
23216,2020-08-24,0.0
23385,2020-08-25,17.0
23554,2020-08-26,8.0
23723,2020-08-27,17.0
23892,2020-08-30,28.0
24061,2020-08-31,6.0
24230,2020-09-01,10.0
24399,2020-09-02,7.0
24568,2020-09-03,2.0
24737,2020-09-07,15.0
24906,2020-09-08,3.0
25075,2020-09-09,5.0
25244,2020-09-10,15.0
25413,2020-09-13,39.0
25582,2020-09-14,9.0
25751,2020-09-15,16.0
25920,2020-09-16,21.0
26089,2020-09-17,16.0
26258,2020-09-20,31.0
26427,2020-09-21,3.0
26596,2020-09-22,8.0
26765,2020-09-23,15.0
26934,2020-09-24,7.0
27103,2020-09-27,24.0
27272,2020-09-28,10.0
27441,2020-09-29,10.0
27610,2020-09-30,10.0
27779,2020-10-01,48.0
27948,2020-10-04,67.0
28117,2020-10-05,16.0
28286,2020-10-06,18.0
28455,2020-10-07,30.0
28624,2020-10-08,18.0
28793,2020-10-11,101.0
28962,2020-10-12,19.0
29131,2020-10-13,20.0
29300,2020-10-14,12.0
29469,2020-10-15,51.0
29638,2020-10-18,69.0
29807,2020-10-19,28.0
29976,2020-10-20,23.0
30145,2020-10-21,15.0
30314,2020-10-22,52.0
30483,2020-10-25,112.0
30652,2020-10-26,18.0
30821,2020-10-27,20.0
30990,2020-10-28,37.0
31159,2020-10-29,42.0
31328,2020-11-01,145.0
31497,2020-11-02,64.0
31666,2020-11-03,19.0
31835,2020-11-04,53.0
32004,2020-11-05,79.0
32173,2020-11-08,133.0
32342,2020-11-09,74.0
32511,2020-11-10,107.0
32680,2020-11-11,76.0
32849,2020-11-12,109.0
33018,2020-11-15,249.0
33187,2020-11-16,82.0
33356,2020-11-17,136.0
33525,2020-11-18,121.0
33694,2020-11-19,86.0
33863,2020-11-22,256.0
34032,2020-11-23,22.0
34201,2020-11-24,125.0
34370,2020-11-26,179.0
34539,2020-11-29,255.0
34708,2020-11-30,16.0
34877,2020-12-01,114.0
35046,2020-12-02,158.0
35215,2020-12-03,55.0
35384,2020-12-06,486.0
35553,2020-12-07,102.0
35722,2020-12-08,129.0
35891,2020-12-09,153.0
36060,2020-12-10,133.0
36229,2020-12-13,425.0
36398,2020-12-14,80.0
36567,2020-12-15,165.0
36736,2020-12-16,120.0
36905,2020-12-17,136.0
37074,2020-12-20,280.0
37243,2020-12-21,47.0
37412,2020-12-22,70.0
37581,2020-12-23,93.0
37750,2020-12-27,477.0
37919,2020-12-28,27.0
38088,2020-12-29,102.0
38257,2020-12-30,71.0
38426,2021-01-01,192.0
38595,2021-01-03,190.0
38764,2021-01-04,111.0
38933,2021-01-05,111.0
39102,2021-01-06,119.0
39271,2021-01-07,200.0
39440,2021-01-10,285.0
39609,2021-01-11,178.0
39778,2021-01-12,114.0
39947,2021-01-13,37.0
40116,2021-01-14,56.0
40285,2021-01-17,293.0
40454,2021-01-18,89.0
40623,2021-01-19,57.0
40792,2021-01-20,74.0
40961,2021-01-21,78.0
41130,2021-01-24,252.0
41299,2021-01-25,58.0
41468,2021-01-26,91.0
41637,2021-01-27,51.0
41806,2021-01-28,41.0
41975,2021-01-31,149.0
42144,2021-02-01,64.0
42313,2021-02-02,9.0
42482,2021-02-03,36.0
42651,2021-02-04,61.0
42820,2021-02-07,168.0
42989,2021-02-08,23.0
43158,2021-02-09,41.0
43327,2021-02-10,49.0
43496,2021-02-11,42.0
43665,2021-02-14,105.0
43834,2021-02-15,18.0
44003,2021-02-16,14.0
44172,2021-02-17,13.0
44341,2021-02-18,42.0
44510,2021-02-21,114.0
44679,2021-02-22,15.0
44848,2021-02-23,31.0
45017,2021-02-24,21.0
45186,2021-02-25,23.0
45355,2021-02-28,85.0
45524,2021-03-01,10.0
45693,2021-03-02,6.0
45862,2021-03-03,32.0
46031,2021-03-04,21.0
46200,2021-03-07,49.0
46369,2021-03-08,9.0
46538,2021-03-09,6.0
46707,2021-03-10,18.0
46876,2021-03-11,26.0
47045,2021-03-14,52.0
47214,2021-03-15,12.0
47383,2021-03-16,3.0
47552,2021-03-17,21.0
47721,2021-03-18,33.0
47890,2021-03-21,66.0
48059,2021-03-22,23.0
48228,2021-03-23,11.0
48397,2021-03-24,27.0
48566,2021-03-25,36.0
48735,2021-03-28,73.0
48904,2021-03-29,42.0
49073,2021-03-30,31.0
49242,2021-03-31,22.0
49411,2021-04-01,43.0
49580,2021-04-04,69.0
49749,2021-04-05,33.0
49918,2021-04-06,23.0
50087,2021-04-07,21.0
50256,2021-04-08,62.0
50425,2021-04-11,101.0
50594,2021-04-12,10.0
50763,2021-04-13,70.0
50932,2021-04-14,13.0
51101,2021-04-15,42.0
51270,2021-04-18,96.0
51439,2021-04-19,16.0
51608,2021-04-20,27.0
51777,2021-04-21,31.0
51946,2021-04-22,41.0
52115,2021-04-25,83.0
52284,2021-04-26,15.0
52453,2021-04-27,33.0
52622,2021-04-28,33.0
52791,2021-04-29,48.0
52960,2021-05-02,92.0
53129,2021-05-03,38.0
53298,2021-05-04,22.0
53467,2021-05-05,46.0
53636,2021-05-06,37.0
53805,2021-05-10,60.0
53974,2021-05-11,26.0
54143,2021-05-12,10.0
54312,2021-05-13,37.0
54481,2021-05-14,31.0
54650,2021-05-17,45.0
54819,2021-05-18,6.0
54988,2021-05-19,13.0
55157,2021-05-20,8.0
55326,2021-05-21,20.0
55495,2021-05-24,22.0
55664,2021-05-25,14.0
55833,2021-05-26,9.0
56002,2021-05-27,8.0
56171,2021-05-28,5.0
